HPG;2970770;1,15E+11;1595300;61677385500
TPB;944320;24710495500;0;0
ITA;876850;5130129100;27460;158769400
NLG;868100;25476244500;150000;4402000000
HDB;976170;24161696500;347280;8652198000
E1VFVN30;554710;9751082600;37520;661674700
VCI;685150;34020376500;204180;10245934500
PDR;389980;18007217500;0;0
BID;408270;19381691000;32180;1526476500
HDG;409440;14452005000;39260;1384569500
PLX;331570;17847055000;5970;322062000
VCB;423250;41721183000;104610;10295505000
VHM;497790;43174674000;184540;15994721000
PTB;317920;18504006000;5330;314796000
HAG;300670;1572536200;39190;201347800
SCR;263880;2083914900;6330;50323500
VIC;346910;36752776000;99710;10517518000
FUEVFVND;225150;3746246400;2020;33718000
STB;754670;12918745500;546160;9380265500
AAA;381050;5325699500;175300;2461622500
KDC;153450;5891170500;6210;237629000
ROS;140460;308851700;12170;26774000
FIT;115440;1406292000;500;6225000
SBT;185310;3825727500;71330;1483750000
NVL;114140;7568776000;9600;635992000
FLC;156130;666584500;63920;272861600
VOS;87010;186158300;0;0
HVN;89740;2531891500;7300;205882000
DLG;123530;178253300;47640;70812500
TLG;82450;3246652500;10590;412325000
TCH;83820;1619409000;13000;250750000
TSC;76860;242045400;6350;19875500
PXS;70000;507300000;0;0
HQC;68560;117836200;0;0
GEX;86810;1802578500;20330;419849500
CTG;83820;2916284000;21080;735487000
VSC;85290;4626647000;33040;1790985000
AST;74050;4129748000;28160;1567156000
APH;58870;4629193000;16590;1311049000
DGC;62570;3009830000;21620;1038560500
DAG;40160;277063800;0;0
BSI;40290;504148500;240;2991000
CKG;40000;542000000;0;0
STK;35390;766583000;0;0
AMD;34200;91757400;0;0
TDH;54340;481606400;20250;178126500
BWE;39630;1304222500;5810;187735000
VJC;44490;5582704000;14580;1824355000
PLP;35100;316792700;6860;63043400
EVG;26830;193412600;0;0
DPM;34660;636672000;7920;144142000
DCM;32400;401760000;7040;87823000
CCL;24690;222961000;470;4225300
TTF;54860;301370900;31260;170921700
TTA;23300;429275000;0;0
GVR;53700;1442826500;30570;823866500
TLH;20630;152999100;0;0
TNI;19330;57440500;0;0
GAS;74340;6340197000;55520;4735614000
LBM;19240;672720000;1400;46200000
DHM;16120;157081800;0;0
BCG;24630;261589000;9140;97341000
PET;40200;684411500;25080;415030000
HAR;17050;77708200;2360;10733200
HBC;49170;749658500;34660;524794000
BCM;14200;580780000;100;4100000
TNA;34000;448800000;20440;267791000
SAB;35860;7179194000;22740;4548298000
HAI;12950;34840800;0;0
VPB;30000;963000000;17100;559807000
SZC;25850;863044500;13050;428878000
PC1;10890;238861500;0;0
BMI;11740;342632000;1120;32760000
TLD;10540;64274400;350;2114000
GDT;10070;404325000;0;0
SJD;9750;167712000;0;0
SHI;10420;91098200;1100;9615000
HTI;6980;95177000;0;0
D2D;10600;605870000;3820;219191000
VGC;68130;1745728000;61430;1575210500
HAP;6520;38877300;0;0
CMG;24430;790249000;18460;596484500
DMC;10060;562978000;4650;260490000
SGN;5010;352803000;0;0
BIC;5000;106250000;0;0
DAH;4790;18330000;0;0
C32;4740;115135000;0;0
DPG;10670;311551000;6240;181667000
SHA;4080;17054400;0;0
VIB;4890;163672000;1200;39840000
DGW;5960;470043000;2490;194857000
NNC;9130;353349500;6000;231382500
SMC;5010;90938000;1960;36518500
VDS;3030;30480000;0;0
DIG;5310;147147500;2740;74990000
CSM;2900;48720000;480;8064000
NSC;2490;203363000;460;37304000
VTO;2000;15741600;0;0
NHH;2850;137124500;1000;48000000
TCL;9870;282389000;8050;228272500
VNE;1620;8800600;0;0
DHA;1430;61314000;0;0
TMS;1430;52483500;0;0
PGC;1170;24578000;0;0
SZL;1090;62233000;0;0
LAF;1060;11448000;0;0
KMR;1000;2655000;0;0
POM;800;9600000;0;0
SCS;1710;221340000;1100;142470000
REE;600;28200000;0;0
TAC;540;25616000;0;0
TVT;510;12750000;0;0
CDC;500;12875000;0;0
LPB;2000;24700000;1500;18450000
DVP;520;23976500;40;1844000
VNL;2990;50830000;2570;43690000
VTB;400;4480000;0;0
SVI;400;41998000;0;0
VPI;300;9945000;0;0
KOS;1000;34300000;710;24069000
S4A;250;6850000;0;0
CAV;210;14561000;0;0
CTF;290;5988500;90;1957500
SJS;250;6372500;100;2568000
YEG;3900;176837000;3760;169974000
DRL;100;5570000;0;0
CCI;100;1370000;0;0
TCT;100;2950000;0;0
ITD;100;914500;0;0
SAM;70;700000;0;0
HCD;60;149400;0;0
IBC;30;660000;0;0
SMB;20;862000;0;0
VCF;20;4590000;0;0
LSS;20;154400;0;0
FUCVREIT;10;60900;0;0
FUESSV30;10;130500;0;0
SCD;0;0;0;0
SGR;0;0;0;0
SMA;0;0;0;0
SKG;0;0;0;0
COM;0;0;0;0
SHP;0;0;0;0
CMV;0;0;0;0
SII;0;0;0;0
SVC;0;0;0;0
CLG;0;0;0;0
STG;0;0;0;0
CIG;0;0;0;0
SVT;0;0;0;0
CLC;0;0;0;0
SRC;0;0;0;0
SPM;0;0;0;0
CLW;0;0;0;0
CLL;0;0;0;0
ST8;0;0;0;0
SRF;0;0;0;0
PNJ;0;0;0;0
PNC;0;0;0;0
PMG;0;0;0;0
DBD;0;0;0;0
PSH;0;0;0;0
DBT;0;0;0;0
PHC;0;0;0;0
PGI;0;0;0;0
PGD;0;0;0;0
PME;0;0;0;0
DC4;0;0;0;0
PIT;0;0;0;0
PTC;0;0;0;0
SAV;0;0;0;0
RIC;0;0;0;0
DAT;0;0;0;0
SC5;0;0;0;0
SBV;0;0;0;0
SBA;0;0;0;0
PXT;0;0;0;0
PXI;0;0;0;0
PTL;0;0;0;0
RDP;0;0;0;0
QCG;0;0;0;0
LEC;0;0;0;0
ASG;0;0;0;0
VDP;0;0;0;0
ASP;0;0;0;0
AGM;0;0;0;0
VID;0;0;0;0
VFG;0;0;0;0
ATG;0;0;0;0
TVS;0;0;0;0
BBC;0;0;0;0
VAF;0;0;0;0
UDC;0;0;0;0
TYA;0;0;0;0
VMD;0;0;0;0
ABT;0;0;0;0
VRC;0;0;0;0
VPS;0;0;0;0
AAM;0;0;0;0
ABS;0;0;0;0
VSH;0;0;0;0
VNS;0;0;0;0
ADS;0;0;0;0
AGG;0;0;0;0
ACB;0;0;0;0
VPH;0;0;0;0
VPD;0;0;0;0
TDP;0;0;0;0
C47;0;0;0;0
TDG;0;0;0;0
TGG;0;0;0;0
TEG;0;0;0;0
TDW;0;0;0;0
TCD;0;0;0;0
TCB;0;0;0;0
CHP;0;0;0;0
TCR;0;0;0;0
TCO;0;0;0;0
CEE;0;0;0;0
THG;0;0;0;0
TPC;0;0;0;0
TNT;0;0;0;0
TNC;0;0;0;0
TTE;0;0;0;0
TS4;0;0;0;0
TRC;0;0;0;0
BTT;0;0;0;0
TIX;0;0;0;0
THI;0;0;0;0
TN1;0;0;0;0
BRC;0;0;0;0
TMP;0;0;0;0
DQC;0;0;0;0
FUCTVGF2;0;0;0;0
DXV;0;0;0;0
GTA;0;0;0;0
HID;0;0;0;0
KHP;0;0;0;0
EMC;0;0;0;0
L10;0;0;0;0
KPF;0;0;0;0
DTL;0;0;0;0
LM8;0;0;0;0
MCP;0;0;0;0
MCG;0;0;0;0
DTT;0;0;0;0
GSP;0;0;0;0
LGL;0;0;0;0
LGC;0;0;0;0
FUCTVGF1;0;0;0;0
FPT;0;0;0;0
HRC;0;0;0;0
