FUEVFVND;10849930;1,74E+11;6900;110436100
FUESSVFL;3001020;39138739000;0;0
BID;1360090;63000492500;594240;27547381500
HDG;763650;25980652000;0;0
PVT;705310;9472140000;10050;135670000
PHR;532080;33967430000;15130;967480000
ITA;251490;1388793000;940;5104200
AAA;242110;3205694500;7900;104090000
HAG;248570;1225721100;33840;164724300
TMS;160000;5328000000;0;0
BCM;150250;5860560000;0;0
LDG;129200;944370300;3080;22782400
GTN;121070;3366914000;0;0
HQC;110580;185190000;0;0
CTD;134000;9462520000;28660;2029020000
DLG;112090;153821500;7770;11114700
AMD;89280;240370000;0;0
SCR;112080;823162500;23420;170345000
TCH;104320;2003850000;17510;335330000
SZC;79190;2461920000;0;0
HAI;78460;212740000;0;0
DRC;138600;3077363500;71610;1583163000
GMD;1730010;56740360000;1663210;54424480000
STK;58300;1198050000;0;0
ASM;56860;796080000;270;3760000
TTB;57370;252234500;1700;7765000
APH;54210;4820221000;0;0
BWE;53870;1689864000;500;15975000
CMX;52390;859880000;0;0
TLG;48830;1915530000;350;13750000
BCG;47360;440062500;0;0
CRE;67220;2198860000;20000;654360000
BMP;56610;3705340000;9780;639270000
PC1;252030;5653650000;211190;4684040000
FLC;91490;400850000;57290;247030000
BMI;35490;1078280000;2210;66980000
VSC;32970;1756141000;230;12374000
PAC;32710;895340000;0;0
SHA;31360;132090000;0;0
TTF;30200;171540000;0;0
FTS;28310;401370000;0;0
VOS;27670;57370000;0;0
EVE;22130;296344000;0;0
LHG;31360;1060801500;10050;342540500
LIX;55120;2984731000;34300;1854247000
CTI;20720;296020000;170;2380000
TSC;38820;123191900;18780;58605100
TVS;20000;242150000;0;0
KSB;44330;1339120000;25050;753790000
IDI;18860;122075500;0;0
NLG;35000;1020250000;17200;501880500
DCM;17780;221361000;200;2480000
EVG;14280;84383000;0;0
AST;37230;2101034000;24780;1400214000
BFC;12310;199194000;0;0
CCL;12270;95040000;0;0
D2D;14250;818470000;2060;117832000
PTB;13790;823642000;1810;108057000
DHM;11970;114751100;0;0
JVC;14210;66614400;2500;11800000
SCS;20720;2589453000;9100;1137500000
CSV;11450;329451000;0;0
HVN;22150;612936500;11610;322497000
FMC;16230;592871000;6030;218931000
NTL;8200;185450000;0;0
DGW;8270;653554000;200;15810000
HDC;7710;246383500;30;954000
VGC;7330;186441500;0;0
HAP;7040;41630000;0;0
DAH;6470;24303700;0;0
TDC;5620;57680000;0;0
TLD;11290;59680700;6710;35531100
MSH;4820;198741000;450;18630000
HTN;4580;198199500;650;28307500
PLP;10090;79221200;6210;49059000
NNC;3700;146030000;0;0
SJS;3800;99960000;180;4760000
C32;4220;105690000;900;22383000
GTA;3220;39930000;0;0
HNG;34470;490480000;31630;449300000
TCT;3220;91130000;500;14200000
IMP;2250;128025000;0;0
GDT;2250;86400000;20;770000
IBC;2220;48840000;0;0
TDG;2000;4830000;0;0
TCL;7070;199872500;5160;146154500
LPB;1850;21830000;0;0
FUESSV50;1570;23443000;0;0
ANV;4260;93120000;2720;59330000
SJF;14360;31310000;12890;28040000
SZL;1520;84693000;50;2800000
DBC;2330;110880000;960;46310000
CTF;1370;28770000;0;0
DMC;2390;134430000;1130;63960000
GIL;4870;220162000;3710;166699000
SHI;1100;9750000;0;0
KMR;1000;2740000;0;0
VRC;1000;7260000;0;0
FUEMAV30;373700;4492591600;372940;4483443900
HTV;700;8870000;0;0
HVH;550;4994000;0;0
NSC;870;69790000;360;28670000
HTL;500;8150000;0;0
SMC;5950;91454000;5500;86900000
OGC;7820;56482200;7440;53983300
HUB;370;7420000;0;0
TN1;310;23100000;0;0
UDC;200;1040000;0;0
ELC;200;1480000;0;0
SGT;500;2780000;400;2200000
PME;100;7870000;0;0
CDC;100;2470000;0;0
TMT;100;590000;0;0
SPM;100;1300000;0;0
BHN;100;7590000;0;0
CHP;100;1970000;0;0
SGN;70;4940000;0;0
POM;70;840000;0;0
ITD;50;460500;0;0
VMD;50;1064500;0;0
VCF;30;6852000;0;0
PDN;20;1600000;0;0
SMB;20;860000;0;0
RAL;10;1330000;0;0
BTP;10;141000;0;0
TCR;0;0;0;0
PIT;0;0;0;0
VSI;0;0;0;0
VTB;0;0;0;0
TEG;0;0;0;0
TCB;0;0;0;0
TDW;0;0;0;0
OPC;0;0;0;0
VSH;0;0;0;0
PDR;0;0;0;0
PHC;0;0;0;0
TBC;0;0;0;0
TCD;0;0;0;0
TCO;0;0;0;0
PGD;0;0;0;0
TAC;0;0;0;0
MDG;0;0;0;0
MCP;0;0;0;0
TS4;0;0;0;0
MWG;0;0;0;0
TRC;0;0;0;0
TTA;0;0;0;0
LM8;0;0;0;0
YBM;0;0;0;0
MCG;0;0;0;0
LSS;0;0;0;0
SMA;0;0;0;0
TGG;0;0;0;0
NVT;0;0;0;0
TVT;0;0;0;0
VTO;0;0;0;0
TPC;0;0;0;0
NAV;0;0;0;0
TPB;0;0;0;0
TTE;0;0;0;0
TNC;0;0;0;0
PJT;0;0;0;0
SBA;0;0;0;0
S4A;0;0;0;0
SRC;0;0;0;0
SC5;0;0;0;0
SBV;0;0;0;0
REE;0;0;0;0
SSC;0;0;0;0
VNS;0;0;0;0
SRF;0;0;0;0
RIC;0;0;0;0
SJD;0;0;0;0
SGR;0;0;0;0
VID;0;0;0;0
SHP;0;0;0;0
SII;0;0;0;0
VNE;0;0;0;0
SCD;0;0;0;0
SKG;0;0;0;0
VIS;0;0;0;0
SFC;0;0;0;0
VPD;0;0;0;0
PNJ;0;0;0;0
PNC;0;0;0;0
PSH;0;0;0;0
VDP;0;0;0;0
VPS;0;0;0;0
SVT;0;0;0;0
VAF;0;0;0;0
SVI;0;0;0;0
SVC;0;0;0;0
PMG;0;0;0;0
STG;0;0;0;0
QBS;0;0;0;0
VPH;0;0;0;0
RDP;0;0;0;0
ST8;0;0;0;0
PTL;0;0;0;0
PTC;0;0;0;0
VPI;0;0;0;0
PXT;0;0;0;0
PXS;0;0;0;0
DAT;0;0;0;0
HCD;0;0;0;0
COM;0;0;0;0
CRC;0;0;0;0
DC4;0;0;0;0
HAS;0;0;0;0
DBD;0;0;0;0
DBT;0;0;0;0
CMV;0;0;0;0
CIG;0;0;0;0
HRC;0;0;0;0
CCI;0;0;0;0
CEE;0;0;0;0
CLL;0;0;0;0
CLW;0;0;0;0
CLG;0;0;0;0
HOT;0;0;0;0
DCL;0;0;0;0
FDC;0;0;0;0
FPT;0;0;0;0
EMC;0;0;0;0
FCM;0;0;0;0
FTM;0;0;0;0
FUCTVGF1;0;0;0;0
FUCVREIT;0;0;0;0
FUCTVGF2;0;0;0;0
EIB;0;0;0;0
GSP;0;0;0;0
DSN;0;0;0;0
DQC;0;0;0;0
DRL;0;0;0;0
DTT;0;0;0;0
DXV;0;0;0;0
DTA;0;0;0;0
DTL;0;0;0;0
CAV;0;0;0;0
AGG;0;0;0;0
AGM;0;0;0;0
L10;0;0;0;0
KPF;0;0;0;0
KHP;0;0;0;0
ATG;0;0;0;0
APC;0;0;0;0
ASG;0;0;0;0
ACL;0;0;0;0
LEC;0;0;0;0
LCM;0;0;0;0
LGL;0;0;0;0
LGC;0;0;0;0
ABT;0;0;0;0
ACB;0;0;0;0
AAM;0;0;0;0
ABS;0;0;0;0
BBC;0;0;0;0
HU1;0;0;0;0
ILB;0;0;0;0
ITC;0;0;0;0
BRC;0;0;0;0
HU3;0;0;0;0
HVX;0;0;0;0
BTT;0;0;0;0
BIC;0;0;0;0
HTI;0;0;0;0
C47;0;0;0;0
TIX;0;0;10;280000
PXI;0;0;10;32700
SAV;0;0;40;704000
ASP;0;0;40;250000
TYA;0;0;50;720000
NBB;0;0;70;1540000
DHA;140;6160000;220;9770000
THI;0;0;190;5150000
CKG;0;0;200;2650000
SFG;0;0;200;1444000
VFG;0;0;250;11880000
VIB;8010;260320000;8280;264330000
VNL;0;0;300;5040000
TRA;620;42400000;1100;75240000
ADS;0;0;500;5580000
YEG;0;0;500;23300000
HMC;0;0;500;7450000
FIR;0;0;590;15020000
SFI;0;0;600;18350000
PGC;170;3684500;790;17222000
GAB;0;0;630;121840000
CMG;9410;306790000;10080;328530000
GMC;280;5070000;990;17920000
TMP;50;2100000;800;32500000
KOS;0;0;790;23918500
BCE;0;0;790;7190000
HPX;0;0;830;22780000
VNG;60;920000;1000;15300000
TLH;0;0;1000;7090000
TDP;0;0;1080;40764000
UIC;60;2862000;1230;58428000
CLC;0;0;1300;40431500
LAF;0;0;1600;15229500
LBM;50;1665000;1720;57246500
VIP;100;781000;2000;16612600
ACC;0;0;1960;28100000
THG;0;0;2110;116070000
TNI;0;0;2250;6560000
HAH;1030;17513000;3460;58887500
KDC;800;30520000;3500;134400000
DHG;340;35774000;3200;335899000
FUESSV30;190;2383100;3330;41756700
DGC;0;0;3220;154811000
DPR;220;10000000;3500;159230000
FUEVN100;1650;21780000;5260;69444900
MHC;0;0;3950;22231000
PGI;0;0;4040;84032000
HII;0;0;4890;73700000
HT1;0;0;5020;84096500
HSL;0;0;5820;40010000
SAM;0;0;6410;63330800
VDS;5000;49500000;11790;117190000
CSM;0;0;7300;122190000
CVT;100;4160000;8490;354890500
TNA;300;3990000;8760;115890000
HBC;120310;1713634000;129100;1841401000
HAR;4400;20720000;13250;62360000
NHH;100;4750000;9440;451070500
TV2;0;0;9450;497220000
VPG;0;0;9730;150643000
TNT;0;0;10000;17220000
CNG;40;782000;11000;214892000
NCT;0;0;11500;817150000
APG;11000;109740000;22550;226260000
PVD;95140;1304230000;106730;1452870000
TIP;7190;251230000;19980;701150000
DPG;0;0;13900;411262000
QCG;670;4824000;15590;111827200
HID;0;0;16980;43470000
DAG;0;0;18840;126250000
VCI;29150;1331802500;48270;2187661000
ICT;130;3081000;20380;483106000
HAX;0;0;22540;408340000
TVB;0;0;22730;278380000
CII;36600;689750000;66260;1254790000
FCN;100;1200000;32810;394601500
FIT;40660;455914500;80530;892792500
DHC;290;17574000;41620;2525978000
DVP;10;460000;43510;1980750000
NAF;2000;42800000;58500;1222990000
BMC;510;5743000;59900;691511000
IJC;0;0;60000;975000000
SAB;68660;13801720000;133550;26724040000
HHS;2000;9790000;68070;334160000
DIG;23510;605730000;93190;2383190000
VJC;152830;19515552000;223760;28284783000
GEG;8420;148470000;79810;1405970000
TDM;30480;825650000;104000;2809800000
DRH;0;0;75330;607340000
GAS;33260;2864840000;120060;10271270000
KBC;318730;5209483000;408470;6701374000
PPC;12720;310380000;104360;2537780000
GVR;30510;711270000;144980;3391030000
TDH;65380;590210000;180550;1625400000
VND;23080;527600000;143650;3282540000
SBT;45530;892750000;171550;3368090000
VIC;413840;44586150000;540060;58073150000
HCM;35800;1037590000;166980;4776650000
TCM;440;20550000;136350;6474540000
CTS;8730;98212500;144720;1599553000
BSI;90;1021500;139840;1571959000
NT2;130200;3075222000;309140;7348334000
LCG;61890;785470000;276010;3508270000
MSN;321330;27100537800;554770;46766760800
HSG;30120;630070000;296410;6201100000
DPM;142850;2608940000;435720;7955210000
